,window_start,ticker,symbol,contract_month,contract_year,transactions,open,high,low,close,session_end_date,settlement_price,dollar_volume,volume,timeframe
125,2026-01-15 23:45:00,MNQH6,MNQ,H,2026.0,705,25732.75,25743.75,25729.25,25743.25,2026-01-16,,34230635,1330,5min
126,2026-01-16 00:05:00,MNQH6,MNQ,H,2026.0,649,25736.25,25738.5,25730.5,25735.25,2026-01-16,,30058052,1168,5min
127,2026-01-16 00:10:00,MNQH6,MNQ,H,2026.0,763,25735.25,25747.5,25731.0,25738.75,2026-01-16,,34440362,1338,5min
128,2026-01-16 00:15:00,MNQH6,MNQ,H,2026.0,413,25738.25,25744.75,25737.5,25742.25,2026-01-16,,17992923,699,5min
129,2026-01-16 00:20:00,MNQH6,MNQ,H,2026.0,406,25742.75,25747.0,25740.75,25742.5,2026-01-16,,20337501,790,5min
130,2026-01-16 00:25:00,MNQH6,MNQ,H,2026.0,486,25743.5,25749.5,25741.0,25748.5,2026-01-16,,25720570,999,5min
131,2026-01-16 00:30:00,MNQH6,MNQ,H,2026.0,737,25749.25,25754.0,25747.25,25749.25,2026-01-16,,39218473,1523,5min
132,2026-01-16 00:35:00,MNQH6,MNQ,H,2026.0,421,25749.25,25755.5,25748.25,25752.75,2026-01-16,,23254127,903,5min
133,2026-01-16 01:25:00,MNQH6,MNQ,H,2026.0,1103,25754.75,25763.25,25748.75,25760.5,2026-01-16,,53825439,2090,5min
134,2026-01-16 01:30:00,MNQH6,MNQ,H,2026.0,1902,25760.0,25783.75,25760.0,25779.5,2026-01-16,,95628282,3710,5min
135,2026-01-16 02:00:00,MNQH6,MNQ,H,2026.0,710,25769.25,25774.5,25762.25,25774.5,2026-01-16,,34066844,1322,5min
136,2026-01-16 02:05:00,MNQH6,MNQ,H,2026.0,832,25774.5,25786.0,25773.0,25783.25,2026-01-16,,42047845,1631,5min
137,2026-01-16 02:20:00,MNQH6,MNQ,H,2026.0,391,25784.0,25785.5,25780.25,25782.75,2026-01-16,,19904473,772,5min
